Gene Symbol,Gene Name, Mutated Tumor Samples,Classification,Core pathway,Process
MAP2K1,mitogen-activated protein kinase kinase 1,13,Oncogene,RAS,Cell Survival
MAP3K1,mitogen-activated protein kinase kinase kinase 1,11,TSG,RAS; MAPK,Cell Survival
MED12,mediator complex subunit 12,337,Oncogene,Cell Cycle/Apoptosis; TGF-b ,Cell Survival
MEN1,multiple endocrine neoplasia I,290,TSG,Chromatin Modification,Cell Fate
MET,met proto-oncogene (hepatocyte growth factor receptor),159,Oncogene,PI3K; RAS,Cell Survival
MLH1,"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)",61,TSG,DNA Damage Control,Genome Maintenance
MLL2,myeloid/lymphoid or mixed-lineage leukemia 2,165,TSG,Chromatin Modification,Cell Fate
MLL3,myeloid/lymphoid or mixed-lineage leukemia 3,111,TSG,Chromatin Modification,Cell Fate
MPL,myeloproliferative leukemia virus oncogene,531,Oncogene,STAT,Cell SUrvival
MSH2,"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)",37,TSG,DNA Damage Control,Genome Maintenance
MSH6,mutS homolog 6 (E. coli),135,TSG,DNA Damage Control,Genome Maintenance
MYD88,myeloid differentiation primary response gene (88),134,Oncogene,Cell Cycle/Apoptosis,Cell Survival
NCOR1,nuclear receptor co-repressor 1,35,TSG,Chromatin Modification,Cell Fate
NF1,neurofibromin 1,362,TSG,RAS,Cell Survival
NF2,neurofibromin 2 (merlin),609,TSG,APC,Cell Fate
NFE2L2,nuclear factor (erythroid-derived 2)-like 2,102,Oncogene,Cell Cycle/Apoptosis,Cell Survival
NOTCH1,"Notch homolog 1, translocation-associated (Drosophila)",661,TSG,NOTCH,Cell Fate
NOTCH2,Notch homolog 2 (Drosophila),51,TSG,NOTCH,Cell Fate
NPM1,"nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)",2471,TSG,Cell Cycle/Apoptosis,Cell Survival
NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,2738,Oncogene,RAS,Cell Survival
PAX5,paired box 5,49,TSG,Chromatin Modification,Cell Fate
PBRM1,polybromo 1,171,TSG,Chromatin Modification,Cell Fate
PDGFRA,"platelet-derived growth factor receptor, alpha polypeptide",653,Oncogene,PI3K; RAS,Cell Survival
PHF6,PHD finger protein 6,57,TSG,Transcriptional Regulation,Cell Fate
PIK3CA,"phosphoinositide-3-kinase, catalytic, alpha polypeptide",4560,Oncogene,PI3K,Cell Survival
PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",88,TSG,PI3K,Cell Survival
PPP2R1A,"protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform",86,Oncogene,Cell Cycle/Apoptosis,Cell Survival
PRDM1,"PR domain containing 1, with ZNF domain",46,TSG,Chromatin Modification,Cell Fate
PTCH1,patched homolog 1 (Drosophila),318,TSG,HH,Cell Fate
PTEN,phosphatase and tensin homolog; phosphatase and tensin homolog pseudogene 1,1719,TSG,PI3K,Cell Survival
PTPN11,"protein tyrosine phosphatase, non-receptor type 11; similar to protein tyrosine phosphatase, non-receptor type 11",410,Oncogene,RAS,Cell Survival
RB1,retinoblastoma 1,208,TSG,Cell Cycle/Apoptosis,Cell Survival
RET,ret proto-oncogene,500,Oncogene,RAS; PI3K ,Cell Survival
RNF43,ring finger protein 43,27,TSG,APC,Cell Fate
RUNX1,runt-related transcription factor 1,304,TSG,Transcriptional Regulation,Cell Fate
SETD2,SET domain containing 2,47,TSG,Chromatin Modification,Cell Fate
SETBP1,SET binding protein 1,95,Oncogene,Chromatin Modification; Replication,Cell Fate
SF3B1,"splicing factor 3b, subunit 1, 155kDa",516,Oncogene,Transcriptional Regulation,Cell Fate
SMAD2,SMAD family member 2,16,TSG,TGF-b ,Cell Survival
SMAD4,SMAD family member 4,207,TSG,TGF-b ,Cell Survival
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",68,TSG,Chromatin Modification,Cell Fate
SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",247,TSG,Chromatin Modification,Cell Fate
SMO,smoothened homolog (Drosophila),34,Oncogene,HH,Cell Fate
SOCS1,suppressor of cytokine signaling 1,41,TSG,STAT,Cell Survival
SOX9,SRY (sex determining region Y)-box 9,9,TSG,APC,Cell Survival
SPOP,speckle-type POZ protein,35,Oncogene,Chromatin Modification; HH,Cell Fate
SRSF2,SRSF2 serine/arginine-rich splicing factor 2,273,Oncogene,Transcriptional Regulation,Cell Fate
STAG2,stromal antigen 2,21,TSG,DNA Damage Control,Genome Maintenance
STK11,serine/threonine kinase 11,220,TSG,mTOR,Cell Survival
TET2,tet oncogene family member 2,864,TSG,Chromatin Modification,Cell Fate
TNFAIP3,"tumor necrosis factor, alpha-induced protein 3",136,TSG,Cell Cycle/Apoptosis; MAPK,Cell Survival
TRAF7,TNF receptor-associated factor 7,123,TSG,Apoptosis,Cell Survival
TP53,tumor protein p53,14438,TSG,Cell Cycle/Apoptosis; DNA Damage Control,Cell Survival
TSC1,tuberous sclerosis 1,20,TSG,PI3K,Cell SUrvival
TSHR,thyroid stimulating hormone receptor,301,Oncogene,PI3K; MAPK,Cell Survival
U2AF1,U2 small nuclear RNA auxiliary factor 1,96,Oncogene,Transcriptional Regulation,Cell Fate
VHL,von Hippel-Lindau tumor suppressor,1287,TSG,PI3K; RAS; STAT,Cell Survival
WT1,Wilms tumor 1,312,TSG,Chromatin Modification,Cell Fate
